suite,target,r,s,baseline,density_error,degree_mae,motif_overlap,edge_disagreement_rate,exact_r_clique_count,exact_r_clique_free,top_shift_precision,top_shift_recall,top_shift_jaccard,sampled_r_clique_rate,sampled_s_independent_rate,validity_proxy,search_initial_score,search_best_score,search_accepted_moves,search_iterations,search_shift_count,search_correction_count,partition_blocks,portfolio_component,portfolio_seed_component,portfolio_objective,portfolio_alignment,portfolio_structure_alignment,portfolio_profile_alignment,portfolio_correction_penalty,portfolio_selection_score,portfolio_refine_iterations,transfer_refine_iterations,transfer_refine_seed_shift_count,transfer_refine_seed_correction_count,transfer_refine_prioritized_count,search_portfolio_size,repair_steps_applied,repair_initial_score,repair_final_score,repair_exact_count_before,repair_exact_count_after
transfer,"R(3, 13) _= 61.txt",3,13,random_density,0.004519774011299438,2.4,0.08166666666666665,0.3073446327683616,217,0.0,0.5,0.5,0.3333333333333333,0.004666666666666667,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.8360342864287023,2.754063784470789,250,217
transfer,"R(3, 13) _= 61.txt",3,13,random_circulant,0.0028248587570621486,0.4,0.05555555555555556,0.28418079096045196,444,0.0,0.375,0.375,0.23076923076923078,0.013333333333333334,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,3.1648680746994726,3.117647805796771,480,444
transfer,"R(3, 13) _= 61.txt",3,13,structured_seed,0.0028248587570621486,0.3333333333333333,0.01611111111111111,0.3644067796610169,216,0.0,0.25,0.25,0.14285714285714285,0.007333333333333333,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.8097173243179294,2.7488117475793663,240,216
transfer,"R(3, 13) _= 61.txt",3,13,nearest_neighbor_transfer,0.031073446327683635,1.8333333333333333,0.015000000000000001,0.3327683615819209,108,0.0,0.25,0.25,0.14285714285714285,0.002,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.4809263965450965,2.4298913338360384,120,108
transfer,"R(3, 13) _= 61.txt",3,13,scaled_nearest_transfer,0.596045197740113,35.166666666666664,0.16333333333333327,0.6604519774011299,17024,0.0,0.5,0.5,0.3333333333333333,0.504,0.0,0.496,,,,,,,,,,,,,,,,,,,,,,6,7.086918944189058,7.027104985016154,8000,8000
transfer,"R(3, 13) _= 61.txt",3,13,exact_triangle_transfer,0.04406779661016949,2.7,0.03166666666666666,0.31751412429378534,0,1.0,0.125,0.125,0.06666666666666667,0.0,0.0,1.0,165.02646400719493,0.09033916413153704,90,90,,,,,,,,,,,,,,,,,,0,0.08870056497175141,0.08870056497175141,0,0
transfer,"R(3, 13) _= 61.txt",3,13,partition_transfer,0.05706214689265535,3.3666666666666667,0.05111111111111112,0.39152542372881355,0,1.0,0.25,0.25,0.14285714285714285,0.0,0.0006666666666666666,0.9993333333333333,,,,,,,,,,,,,,,,,,,,,,0,0.061864406779661006,0.061864406779661006,0,0
transfer,"R(3, 13) _= 61.txt",3,13,portfolio_transfer,0.006214689265536727,0.36666666666666664,0.015555555555555553,0.36892655367231636,0,1.0,0.25,0.25,0.14285714285714285,0.0,0.0,1.0,,,,,,,,structured_seed_motif,,0.0031073446327683635,0.6271237180825061,0.6535057797991284,0.6007416563658838,0.0,-0.04706255281383213,,,,,,,0,0.0031073446327683635,0.0031073446327683635,0,0
transfer,"R(3, 13) _= 61.txt",3,13,structure_oracle_transfer,0.03954802259887005,3.433333333333333,0.15555555555555553,0.1152542372881356,159,0.0,1.0,1.0,1.0,0.008666666666666666,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,3.0401618132022383,2.7549941927211474,225,159
transfer,"R(3, 13) _= 61.txt",3,13,teacher_mean_transfer,0.031073446327683635,1.8333333333333333,0.015000000000000001,0.3327683615819209,108,0.0,0.25,0.25,0.14285714285714285,0.002,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.487176396545096,2.436141333836038,120,108
