suite,target,r,s,baseline,density_error,degree_mae,motif_overlap,edge_disagreement_rate,exact_r_clique_count,exact_r_clique_free,top_shift_precision,top_shift_recall,top_shift_jaccard,sampled_r_clique_rate,sampled_s_independent_rate,validity_proxy,search_initial_score,search_best_score,search_accepted_moves,search_iterations,search_shift_count,search_correction_count,partition_blocks,portfolio_component,portfolio_seed_component,portfolio_objective,portfolio_alignment,portfolio_structure_alignment,portfolio_profile_alignment,portfolio_correction_penalty,portfolio_selection_score,portfolio_refine_iterations,transfer_refine_iterations,transfer_refine_seed_shift_count,transfer_refine_seed_correction_count,transfer_refine_prioritized_count,search_portfolio_size,repair_steps_applied,repair_initial_score,repair_final_score,repair_exact_count_before,repair_exact_count_after
transfer,"R(3, 13) _= 61.txt",3,13,random_density,0.014124293785310743,2.4,0.07444444444444445,0.307909604519774,190,0.0,0.125,0.125,0.06666666666666667,0.004666666666666667,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,2.866969280633208,2.7046112943213863,247,190
transfer,"R(3, 13) _= 61.txt",3,13,random_circulant,0.016384180790960462,1.0,0.049444444444444444,0.2853107344632768,110,0.0,0.375,0.375,0.23076923076923078,0.002,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,2.543431468765302,2.41922641033269,140,110
transfer,"R(3, 13) _= 61.txt",3,13,structured_seed,0.0005649717514124297,0.26666666666666666,0.01611111111111111,0.3632768361581921,200,0.0,0.25,0.25,0.14285714285714285,0.004666666666666667,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,2.790967324317929,2.7235959017530478,240,200
transfer,"R(3, 13) _= 61.txt",3,13,nearest_neighbor_transfer,0.033333333333333354,1.9666666666666666,0.015000000000000001,0.3305084745762712,100,0.0,0.25,0.25,0.14285714285714285,0.0013333333333333333,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,2.4746763965450964,2.3862863597055757,120,100
transfer,"R(3, 13) _= 61.txt",3,13,scaled_nearest_transfer,0.5937853107344633,35.03333333333333,0.16333333333333327,0.6593220338983051,16841,0.0,0.5,0.5,0.3333333333333333,0.514,0.0,0.486,,,,,,,,,,,,,,,,,,,,,,10,7.111918944189058,6.96843553387268,8000,8000
transfer,"R(3, 13) _= 61.txt",3,13,exact_triangle_transfer,0.015254237288135603,1.1666666666666667,0.046111111111111124,0.31468926553672316,0,1.0,0.25,0.25,0.14285714285714285,0.0,0.0,1.0,200.34106689724274,0.26677311193201025,150,150,,,,,,,,,,,,,,,,,,0,0.07429378531073447,0.07429378531073447,0,0
transfer,"R(3, 13) _= 61.txt",3,13,partition_transfer,0.05706214689265535,3.3666666666666667,0.05111111111111112,0.39152542372881355,0,1.0,0.25,0.25,0.14285714285714285,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,0,0.061864406779661006,0.061864406779661006,0,0
transfer,"R(3, 13) _= 61.txt",3,13,portfolio_transfer,0.005649717514124297,0.4,0.014999999999999998,0.3694915254237288,0,1.0,0.25,0.25,0.14285714285714285,0.0,0.0,1.0,,,,,,,,teacher_mean_transfer_motif,,0.0028248587570621486,0.5735912544830951,0.5897041406101952,0.5574783683559951,0.01,-0.03306244160158546,,,,,,,1,0.5577638413536968,0.0028248587570621486,2,0
transfer,"R(3, 13) _= 61.txt",3,13,structure_oracle_transfer,0.04180790960451977,3.433333333333333,0.1533333333333333,0.11412429378531073,126,0.0,1.0,1.0,1.0,0.0033333333333333335,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,3.0464118132022384,2.618672509892276,225,126
transfer,"R(3, 13) _= 61.txt",3,13,teacher_mean_transfer,0.033333333333333354,1.9666666666666666,0.015000000000000001,0.3305084745762712,100,0.0,0.25,0.25,0.14285714285714285,0.0013333333333333333,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,2.4746763965450964,2.3862863597055757,120,100
transfer,"R(3, 13) _= 61.txt",3,13,psi_ramsey_transfer,0.033333333333333354,1.9666666666666666,0.0044444444444444444,0.3531073446327684,200,0.0,0.125,0.125,0.06666666666666667,0.004666666666666667,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,2.835035120928098,2.739980082544008,240,200
transfer,"R(3, 18) _= 100.txt",3,18,random_density,0.018346732632446933,3.2525252525252526,0.06411049268192123,0.28921871779014635,948,0.0,0.25,0.25,0.14285714285714285,0.006666666666666667,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,3.5535660891572776,3.5015142962534855,1036,948
transfer,"R(3, 18) _= 100.txt",3,18,random_circulant,0.005565862708719838,0.5454545454545454,0.025355596784168214,0.277262420119563,356,0.0,0.125,0.125,0.06666666666666667,0.0033333333333333335,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,3.029112728165013,2.976525986912219,396,356
transfer,"R(3, 18) _= 100.txt",3,18,structured_seed,0.005565862708719838,0.5454545454545454,0.012162440733869304,0.3036487322201608,686,0.0,0.125,0.125,0.06666666666666667,0.008,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,3.334554189720212,3.3070132027443524,726,686
transfer,"R(3, 18) _= 100.txt",3,18,nearest_neighbor_transfer,0.0352504638218924,3.4545454545454546,0.012574726860441145,0.3440527726242012,2190,0.0,0.0,0.0,0.0,0.015333333333333332,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,4.004094803123107,3.9448932676437902,2310,2190
transfer,"R(3, 18) _= 100.txt",3,18,scaled_nearest_transfer,0.32096474953617815,31.454545454545453,0.05813234384662956,0.53865182436611,20980,0.0,0.125,0.125,0.06666666666666667,0.13733333333333334,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,5.886513090084519,5.8479823747680895,8000,8000
transfer,"R(3, 18) _= 100.txt",3,18,exact_triangle_transfer,0.021851164708307558,2.1414141414141414,0.04267161410018553,0.23088023088023088,0,1.0,0.25,0.25,0.14285714285714285,0.0,0.0,1.0,297.2777850964664,0.2924791935780947,150,150,,,,,,,,,,,,,,,,,,0,0.03592558235415378,0.03592558235415378,0,0
transfer,"R(3, 18) _= 100.txt",3,18,partition_transfer,0.04514533085961657,11.95959595959596,0.01154401154401154,0.28014842300556586,4370,0.0,0.0,0.0,0.0,0.029333333333333333,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,4.535880994800317,4.504771034675477,4600,4370
transfer,"R(3, 18) _= 100.txt",3,18,portfolio_transfer,0.021851164708307558,2.1414141414141414,0.04267161410018553,0.23088023088023088,0,1.0,0.25,0.25,0.14285714285714285,0.0,0.0,1.0,297.2777850964664,0.2924791935780947,150,150,,,,exact_triangle_transfer,,0.03592558235415378,0.1887060556797399,0.15462812436496645,0.22278398699451332,0.0,0.02082909789977459,,,,,,,0,0.03592558235415378,0.03592558235415378,0,0
transfer,"R(3, 18) _= 100.txt",3,18,structure_oracle_transfer,0.05813234384662955,6.0,0.10863739435168006,0.12492269635126778,186,0.0,1.0,1.0,1.0,0.0013333333333333333,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,3.171857807199542,2.8513465056626077,275,186
transfer,"R(3, 18) _= 100.txt",3,18,teacher_mean_transfer,0.0352504638218924,3.494949494949495,0.012574726860441145,0.34364048649762935,1557,0.0,0.125,0.125,0.06666666666666667,0.013333333333333334,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,3.8241139069989503,3.754005225353794,1617,1557
transfer,"R(3, 18) _= 100.txt",3,18,psi_ramsey_transfer,0.0352504638218924,3.4545454545454546,0.04514533085961658,0.2784992784992785,1062,0.0,0.25,0.25,0.14285714285714285,0.009333333333333334,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,3.6209918374284324,3.567239423621869,1122,1062
transfer,"R(4, 13) _= 139.txt",4,13,random_density,0.0001057865227970245,4.405797101449275,0.17244276412518375,0.4348883952184492,14862,0.0,0.0,0.0,0.0,0.0013333333333333333,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,4.922560837593526,4.883675967203323,8000,8000
transfer,"R(4, 13) _= 139.txt",4,13,random_circulant,0.0015867978419549233,1.0724637681159421,0.15206889308968705,0.3322754681053634,16906,0.0,0.5,0.5,0.3333333333333333,0.002,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,10,4.9471594231907385,4.928447688951725,8000,8000
transfer,"R(4, 13) _= 139.txt",4,13,structured_seed,0.0025388765471279218,0.9565217391304348,0.06343205208989708,0.5117951972918651,158334,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,1,5.032572331534962,5.032519438273564,8000,8000
