suite,target,r,s,baseline,density_error,degree_mae,motif_overlap,edge_disagreement_rate,exact_r_clique_count,exact_r_clique_free,top_shift_precision,top_shift_recall,top_shift_jaccard,sampled_r_clique_rate,sampled_s_independent_rate,validity_proxy,search_initial_score,search_best_score,search_accepted_moves,search_iterations,search_shift_count,search_correction_count,partition_blocks,portfolio_component,portfolio_seed_component,portfolio_objective,portfolio_alignment,portfolio_structure_alignment,portfolio_profile_alignment,portfolio_correction_penalty,portfolio_selection_score,portfolio_refine_iterations,transfer_refine_iterations,transfer_refine_seed_shift_count,transfer_refine_seed_correction_count,transfer_refine_prioritized_count,search_portfolio_size,repair_steps_applied,repair_initial_score,repair_final_score,repair_exact_count_before,repair_exact_count_after
transfer,"R(3, 13) _= 61.txt",3,13,random_density,0.011864406779661024,2.533333333333333,0.07444444444444445,0.3101694915254237,210,0.0,0.125,0.125,0.06666666666666667,0.005333333333333333,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.866969280633208,2.7870920244021495,247,210
transfer,"R(3, 13) _= 61.txt",3,13,random_circulant,0.014124293785310743,0.8666666666666667,0.049444444444444444,0.2864406779661017,122,0.0,0.375,0.375,0.23076923076923078,0.0026666666666666666,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.543431468765302,2.476173479919118,140,122
transfer,"R(3, 13) _= 61.txt",3,13,structured_seed,0.0028248587570621486,0.4666666666666667,0.03500000000000001,0.32598870056497176,108,0.0,0.25,0.25,0.14285714285714285,0.0013333333333333333,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.4243585999349273,2.3699337067173945,120,108
transfer,"R(3, 13) _= 61.txt",3,13,nearest_neighbor_transfer,0.027683615819209056,1.6333333333333333,0.03444444444444445,0.2966101694915254,0,1.0,0.25,0.25,0.14285714285714285,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,0,0.04717514124293786,0.04717514124293786,0,0
transfer,"R(3, 13) _= 61.txt",3,13,scaled_nearest_transfer,0.6129943502824858,36.166666666666664,0.1672222222222222,0.6694915254237288,17796,0.0,0.375,0.375,0.23076923076923078,0.51,0.0,0.49,,,,,,,,,,,,,,,,,,,,,,6,7.062931529480176,6.9829690617575615,8000,8000
transfer,"R(3, 13) _= 61.txt",3,13,exact_triangle_transfer,0.03728813559322036,2.3666666666666667,0.03444444444444444,0.3231638418079096,0,1.0,0.125,0.125,0.06666666666666667,0.0,0.0,1.0,148.02750211260803,0.07787218117726599,90,90,,,,,,,,,,,,,,,,,,0,0.08531073446327685,0.08531073446327685,0,0
transfer,"R(3, 13) _= 61.txt",3,13,partition_transfer,0.05706214689265535,3.3666666666666667,0.05111111111111112,0.39152542372881355,0,1.0,0.25,0.25,0.14285714285714285,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,0,0.061864406779661006,0.061864406779661006,0,0
transfer,"R(3, 13) _= 61.txt",3,13,portfolio_transfer,0.006214689265536727,0.36666666666666664,0.061666666666666675,0.2751412429378531,0,1.0,0.25,0.25,0.14285714285714285,0.0,0.0,1.0,,,,,,,,nearest_neighbor_transfer,,0.0031073446327683635,0.423490602314083,0.45637551859602743,0.39060568603213847,0.0,-0.030771903552358273,,,,,,,0,0.0031073446327683635,0.0031073446327683635,0,0
transfer,"R(3, 13) _= 61.txt",3,13,structure_oracle_transfer,0.03954802259887005,3.466666666666667,0.15555555555555553,0.1152542372881356,159,0.0,1.0,1.0,1.0,0.004,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,3.0651618132022387,2.807077526054481,225,159
transfer,"R(3, 13) _= 61.txt",3,13,teacher_mean_transfer,0.027683615819209056,1.6333333333333333,0.03444444444444445,0.2966101694915254,0,1.0,0.25,0.25,0.14285714285714285,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,0,0.04717514124293786,0.04717514124293786,0,0
transfer,"R(3, 13) _= 61.txt",3,13,psi_ramsey_transfer,0.031073446327683635,1.8333333333333333,0.02888888888888889,0.3045197740112994,216,0.0,0.25,0.25,0.14285714285714285,0.006,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.8287851209280985,2.77126937469801,240,216
transfer,"R(3, 18) _= 100.txt",3,18,random_density,0.005565862708719838,2.8484848484848486,0.05194805194805196,0.28303442589156874,616,0.0,0.125,0.125,0.06666666666666667,0.0026666666666666666,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,3.3187444555708545,3.2777572019161405,669,616
transfer,"R(3, 18) _= 100.txt",3,18,random_circulant,0.004741290455576169,0.46464646464646464,0.00968872397443826,0.3094207379921666,120,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.470743272464351,2.423621900529947,132,120
transfer,"R(3, 18) _= 100.txt",3,18,structured_seed,0.004741290455576169,0.46464646464646464,0.019789734075448363,0.28921871779014635,651,0.0,0.125,0.125,0.06666666666666667,0.007333333333333333,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,3.3173506930347365,3.286451395222062,693,651
transfer,"R(3, 18) _= 100.txt",3,18,nearest_neighbor_transfer,0.03607503607503609,3.5353535353535355,0.0202020202020202,0.32921047206761495,1431,0.0,0.0,0.0,0.0,0.01,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,3.7686480112773357,3.71809137215975,1485,1431
transfer,"R(3, 18) _= 100.txt",3,18,scaled_nearest_transfer,0.32178932178932185,31.535353535353536,0.0655534941249227,0.5246340960626675,20685,0.0,0.0,0.0,0.0,0.13733333333333334,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,5.905263090084519,5.860894660894661,8000,8000
