Method,Overall Mean Rank Mean,Overall Mean Rank Std,Exact r-Clique Count Mean,Exact r-Clique Count Std,Density Error Mean,Density Error Std,Motif Overlap Mean,Motif Overlap Std,Top-Shift Jaccard Mean,Top-Shift Jaccard Std,Validity Proxy Mean,Validity Proxy Std,Structural Score Mean
portfolio_transfer,3.9452,0.3452,2491.0333,442.345,0.0081,0.0015,0.0677,0.0079,0.1451,0.0261,0.7,0.0,0.1064
structure_oracle_transfer,4.1452,0.0253,8359.6333,3.5032,0.0608,0.0,0.1926,0.0,0.84,0.0,0.6,0.0,0.5163
exact_triangle_transfer,4.7429,0.1343,6835.8667,116.8536,0.0117,0.0029,0.0771,0.0021,0.0331,0.016,0.6167,0.0373,0.0551
random_circulant,5.0571,0.2685,9603.3333,1203.3484,0.003,0.0004,0.0585,0.0079,0.1122,0.0287,0.5,0.0,0.0853
structured_seed,5.1381,0.0759,113490.1,199.8345,0.0025,0.0,0.0586,0.0,0.1371,0.0,0.5,0.0,0.0978
nearest_neighbor_transfer,6.1786,0.0465,92658.2,0.0,0.0258,0.0,0.0591,0.0,0.1033,0.0,0.5,0.0,0.0812
teacher_mean_transfer,6.2024,0.0518,98885.4667,58.1401,0.026,0.0,0.0579,0.0,0.1141,0.0057,0.5,0.0,0.086
psi_ramsey_transfer,5.9857,0.2163,99301.8333,3475.4434,0.0264,0.0014,0.0619,0.0032,0.1144,0.0135,0.5333,0.0471,0.0882
partition_transfer,6.7595,0.0531,122528.1667,44.3487,0.0912,0.0,0.0612,0.0,0.239,0.0,0.6,0.0,0.1501
scaled_nearest_transfer,6.8452,0.0702,147174.0333,95.6292,0.1969,0.0,0.1013,0.0,0.1547,0.0,0.4992,0.0013,0.128
