suite,target,r,s,baseline,density_error,degree_mae,motif_overlap,edge_disagreement_rate,exact_r_clique_count,exact_r_clique_free,top_shift_precision,top_shift_recall,top_shift_jaccard,sampled_r_clique_rate,sampled_s_independent_rate,validity_proxy,search_initial_score,search_best_score,search_accepted_moves,search_iterations,search_shift_count,search_correction_count,partition_blocks,portfolio_component,portfolio_seed_component,portfolio_objective,portfolio_alignment,portfolio_structure_alignment,portfolio_profile_alignment,portfolio_correction_penalty,portfolio_selection_score,portfolio_refine_iterations,transfer_refine_iterations,transfer_refine_seed_shift_count,transfer_refine_seed_correction_count,transfer_refine_prioritized_count,search_portfolio_size,repair_steps_applied,repair_initial_score,repair_final_score,repair_exact_count_before,repair_exact_count_after
transfer,"R(3, 13) _= 61.txt",3,13,random_density,0.011299435028248594,2.6,0.07333333333333333,0.3096045197740113,193,0.0,0.25,0.25,0.14285714285714285,0.008,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.788683196771065,2.7110671296593725,226,193
transfer,"R(3, 13) _= 61.txt",3,13,random_circulant,0.0028248587570621486,0.3333333333333333,0.0077777777777777776,0.3813559322033898,276,0.0,0.25,0.25,0.14285714285714285,0.006,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.91570667823917,2.8720607136092746,300,276
transfer,"R(3, 13) _= 61.txt",3,13,structured_seed,0.0028248587570621486,0.3,0.01611111111111111,0.3644067796610169,216,0.0,0.25,0.25,0.14285714285714285,0.005333333333333333,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.790967324317929,2.7633950809126997,240,216
transfer,"R(3, 13) _= 61.txt",3,13,nearest_neighbor_transfer,0.031073446327683635,1.8333333333333333,0.015000000000000001,0.3327683615819209,108,0.0,0.25,0.25,0.14285714285714285,0.0013333333333333333,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.4746763965450964,2.4236413338360383,120,108
transfer,"R(3, 13) _= 61.txt",3,13,scaled_nearest_transfer,0.596045197740113,35.166666666666664,0.16333333333333327,0.6615819209039548,17024,0.0,0.5,0.5,0.3333333333333333,0.5193333333333333,0.0,0.4806666666666667,,,,,,,,,,,,,,,,,,,,,,6,7.118168944189058,7.058354985016154,8000,8000
transfer,"R(3, 13) _= 61.txt",3,13,exact_triangle_transfer,0.015819209039548032,1.0,0.039444444444444456,0.303954802259887,0,1.0,0.375,0.375,0.23076923076923078,0.0,0.0,1.0,180.31713305773889,0.28958505081246627,90,90,,,,,,,,,,,,,,,,,,0,0.04124293785310735,0.04124293785310735,0,0
transfer,"R(3, 13) _= 61.txt",3,13,partition_transfer,0.02259887005649719,4.366666666666666,0.08333333333333331,0.24632768361581922,1287,0.0,0.375,0.375,0.23076923076923078,0.029333333333333333,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,3.7941692563399307,3.7078464284416386,1365,1287
transfer,"R(3, 13) _= 61.txt",3,13,portfolio_transfer,0.006214689265536727,0.36666666666666664,0.059444444444444446,0.2796610169491525,0,1.0,0.25,0.25,0.14285714285714285,0.0,0.0,1.0,,,,,,,,teacher_profile_transfer,,0.0031073446327683635,0.43558223018183295,0.48851297415859507,0.38265148620507083,0.0,-0.03173923378177827,,,,,,,0,0.0031073446327683635,0.0031073446327683635,0,0
transfer,"R(3, 13) _= 61.txt",3,13,structure_oracle_transfer,0.03954802259887005,3.066666666666667,0.15555555555555553,0.1152542372881356,110,0.0,1.0,1.0,1.0,0.0006666666666666666,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.5944191965712706,2.430808331236645,153,110
transfer,"R(3, 13) _= 61.txt",3,13,teacher_mean_transfer,0.07062146892655366,4.166666666666667,0.09,0.28192090395480224,714,0.0,0.375,0.375,0.23076923076923078,0.03133333333333333,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,3.535147562462881,3.4305430164217743,780,714
