suite,target,r,s,baseline,density_error,degree_mae,motif_overlap,edge_disagreement_rate,exact_r_clique_count,exact_r_clique_free,top_shift_precision,top_shift_recall,top_shift_jaccard,sampled_r_clique_rate,sampled_s_independent_rate,validity_proxy,search_initial_score,search_best_score,search_accepted_moves,search_iterations,search_shift_count,search_correction_count,partition_blocks,portfolio_component,portfolio_seed_component,portfolio_objective,portfolio_alignment,portfolio_structure_alignment,portfolio_profile_alignment,portfolio_correction_penalty,portfolio_selection_score,portfolio_refine_iterations,transfer_refine_iterations,transfer_refine_seed_shift_count,transfer_refine_seed_correction_count,transfer_refine_prioritized_count,search_portfolio_size,repair_steps_applied,repair_initial_score,repair_final_score,repair_exact_count_before,repair_exact_count_after
transfer,"R(3, 13) _= 61.txt",3,13,random_density,0.011864406779661024,2.533333333333333,0.07444444444444445,0.3101694915254237,210,0.0,0.125,0.125,0.06666666666666667,0.0077777777777777776,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.866969280633208,2.7870920244021495,247,210
transfer,"R(3, 13) _= 61.txt",3,13,random_circulant,0.014124293785310743,0.8666666666666667,0.049444444444444444,0.2864406779661017,122,0.0,0.375,0.375,0.23076923076923078,0.0022222222222222222,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.543431468765302,2.476173479919118,140,122
transfer,"R(3, 13) _= 61.txt",3,13,structured_seed,0.0028248587570621486,0.3,0.01611111111111111,0.3644067796610169,216,0.0,0.25,0.25,0.14285714285714285,0.006666666666666667,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.790967324317929,2.7633950809126997,240,216
transfer,"R(3, 13) _= 61.txt",3,13,nearest_neighbor_transfer,0.031073446327683635,1.8333333333333333,0.015000000000000001,0.3327683615819209,108,0.0,0.25,0.25,0.14285714285714285,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.4746763965450964,2.4236413338360383,120,108
transfer,"R(3, 13) _= 61.txt",3,13,scaled_nearest_transfer,0.596045197740113,35.166666666666664,0.16333333333333327,0.6604519774011299,17024,0.0,0.5,0.5,0.3333333333333333,0.5244444444444445,0.0,0.4755555555555555,,,,,,,,,,,,,,,,,,,,,,6,7.111918944189058,7.052104985016155,8000,8000
transfer,"R(3, 13) _= 61.txt",3,13,exact_triangle_transfer,0.03728813559322036,2.3666666666666667,0.03444444444444444,0.3231638418079096,0,1.0,0.125,0.125,0.06666666666666667,0.0,0.0,1.0,148.02750211260803,0.07787218117726599,90,90,,,,,,,,,,,,,,,,,,0,0.08531073446327685,0.08531073446327685,0,0
transfer,"R(3, 13) _= 61.txt",3,13,partition_transfer,0.05706214689265535,3.3666666666666667,0.05111111111111112,0.39152542372881355,0,1.0,0.25,0.25,0.14285714285714285,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,0,0.061864406779661006,0.061864406779661006,0,0
transfer,"R(3, 13) _= 61.txt",3,13,portfolio_transfer,0.006214689265536727,0.36666666666666664,0.013888888888888888,0.37231638418079094,0,1.0,0.25,0.25,0.14285714285714285,0.0,0.0,1.0,,,,,,,,partition_transfer_motif,,0.008107344632768364,0.41358023164990787,0.4254299317794201,0.40173053152039556,0.0,-0.024979073899224265,,,,,,,0,0.0031073446327683635,0.0031073446327683635,0,0
transfer,"R(3, 13) _= 61.txt",3,13,structure_oracle_transfer,0.03954802259887005,3.433333333333333,0.15555555555555553,0.1152542372881356,159,0.0,1.0,1.0,1.0,0.006666666666666667,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,3.0276618132022386,2.7549941927211474,225,159
transfer,"R(3, 13) _= 61.txt",3,13,teacher_mean_transfer,0.031073446327683635,1.8333333333333333,0.015000000000000001,0.3327683615819209,108,0.0,0.25,0.25,0.14285714285714285,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.4746763965450964,2.4236413338360383,120,108
transfer,"R(3, 13) _= 61.txt",3,13,psi_ramsey_transfer,0.031073446327683635,1.8333333333333333,0.0044444444444444444,0.35423728813559324,216,0.0,0.125,0.125,0.06666666666666667,0.0033333333333333335,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,2.8537851209280984,2.8296027080313437,240,216
transfer,"R(3, 18) _= 100.txt",3,18,random_density,0.0014430014430014404,2.6666666666666665,0.053184910327767475,0.28220985363842505,678,0.0,0.125,0.125,0.06666666666666667,0.0022222222222222222,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,3.3884601103476726,3.3490381454891898,725,678
transfer,"R(3, 18) _= 100.txt",3,18,random_circulant,0.004741290455576169,0.46464646464646464,0.016697588126159554,0.29540300968872396,558,0.0,0.125,0.125,0.06666666666666667,0.0033333333333333335,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,3.2333958556651914,3.202504366269227,594,558
transfer,"R(3, 18) _= 100.txt",3,18,structured_seed,0.004741290455576169,0.46464646464646464,0.012162440733869304,0.30447330447330445,702,0.0,0.125,0.125,0.06666666666666667,0.006666666666666667,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,3.334554189720212,3.3182243387884403,726,702
transfer,"R(3, 18) _= 100.txt",3,18,nearest_neighbor_transfer,0.03607503607503609,3.5353535353535355,0.012574726860441145,0.34446505875077305,2238,0.0,0.0,0.0,0.0,0.015555555555555555,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,6,4.004094803123107,3.95624673357155,2310,2238
